genre,movie_title
Action,"Fury"
Action,"London Has Fallen"
Action,"The Other Guys"
Action,"The Algerian"
Action,"1941"
Action,"The Negotiator"
Action,"2 Guns"
Action,"The 5th Wave"
Action,"21 Jump Street"
Action,"The Taking of Pelham 1 2 3"
Action,"Gods of Egypt"
Action,"Blade: Trinity"
Action,"Captain America: The First Avenger"
Action,"Machine Gun Preacher"
Action,"Kingdom of Heaven"
Action,"The Patriot"
Action,"22 Jump Street"
Action,"Smokin' Aces"
Action,"Kick-Ass 2"
Action,"Pacific Rim"
Action,"Absolute Power"
Action,"A Knight's Tale"
Action,"Blood Work"
Action,"The Matrix"
Action,"Spy Kids 2: Island of Lost Dreams"
Action,"Deadpool"
Action,"White House Down"
Action,"Surrogates"
Action,"Clash of the Titans"
Action,"Clash of the Titans"
Action,"Survivor"
Action,"Journey to the Center of the Earth"
Action,"Resident Evil: Retribution"
Action,"Resident Evil"
Action,"Self/less"
Action,"Space Cowboys"
Action,"Elysium"
Action,"Green Lantern"
Action,"The Man with the Golden Gun"
Action,"Riddick"
Action,"The Boondock Saints II: All Saints Day"
Action,"The Bourne Ultimatum"
Action,"Caravans"
Action,"The Chronicles of Riddick"
Action,"Unknown"
Action,"The Count of Monte Cristo"
Action,"Unknown"
Action,"Seventh Son"
Action,"Face/Off"
Action,"Run All Night"
Action,"Non-Stop"
Action,"Taken 3"
Action,"The Rundown"
Action,"The Last Witch Hunter"
Action,"The Pacifier"
Action,"Firefox"
Action,"Resident Evil: Apocalypse"
Action,"Independence Day"
Action,"The Prince"
Action,"San Andreas"
Action,"Immortals"
Action,"A Man Apart"
Action,"The Grey"
Action,"Die Hard 2"
Action,"Tears of the Sun"
Action,"TMNT"
Action,"Star Trek II: The Wrath of Khan"
Action,"Mercury Rising"
Action,"Mercury Rising"
Action,"A Fistful of Dollars"
Action,"Drive Angry"
Action,"Taken"
Action,"Taken 2"
Action,"Jack Reacher"
Action,"Jack Reacher"
Action,"The Iron Giant"
Action,"American Sniper"
Action,"Max Payne"
Action,"Hercules"
Action,"Hercules"
Action,"Star Trek VI: The Undiscovered Country"
Action,"Resident Evil: Extinction"
Action,"Wrath of the Titans"
Action,"Prince of Persia: The Sands of Time"
Action,"Ghost Rider: Spirit of Vengeance"
Action,"Resident Evil: Afterlife"
Action,"The Rock"
Action,"Babylon A.D."
Action,"The Mummy Returns"
Action,"Hudson Hawk"
Action,"Escape from L.A."
Action,"Hit and Run"
Action,"Wild Wild West"
Action,"Titan A.E."
Action,"Jarhead"
Action,"Snitch"
Action,"Snitch"
Action,"The Man from U.N.C.L.E."
Action,"Escape Plan"
Action,"The Legend of Hell's Gate: An American Conspiracy"
Action,"Rambo: First Blood Part II"
Action,"Alex Rider: Operation Stormbreaker"
Action,"I Am Number Four"
Action,"Pineapple Express"
Action,"G.I. Jane"
Action,"Maleficent"
Action,"A Good Day to Die Hard"
Action,"Charlie's Angels"
Action,"Blade II"
Action,"Con Air"
Action,"Fantastic 4: Rise of the Silver Surfer"
Action,"Centurion"
Action,"Ultraviolet"
Action,"Atlantis: The Lost Empire"
Action,"Cliffhanger"
Action,"First Blood"
Action,"First Blood"
Action,"The Man Who Knew Too Little"
Action,"16 Blocks"
Action,"Windtalkers"
Action,"Left Behind"
Action,"Left Behind"
Action,"Final Fantasy: The Spirits Within"
Action,"Stolen"
Action,"Indiana Jones and the Kingdom of the Crystal Skull"
Action,"Death Race 2000"
Action,"U-571"
Action,"The Adventures of Sharkboy and Lavagirl 3-D"
Action,"The Edge"
Action,"Men in Black II"
Action,"xXx"
Action,"Driven"
Action,"Star Trek III: The Search for Spock"
Action,"Krull"
Action,"Star Trek V: The Final Frontier"
Action,"Faster"
Action,"The Last Legion"
